Stage,MinStat,MaxStat,MinTime,MaxTime
1,102,102,00:02:00,00:05:00
2,103,103,00:01:00,00:05:00
3,104,104,00:03:00,00:05:00
4,105,105,00:01:00,00:02:00
5,106,106,00:02:00,00:03:00
6,107,108,00:15:00,00:16:00
7,109,109,00:01:00,00:02:00
8,110,110,00:01:00,00:02:00
