Stage,MinStat,MaxStat,MinTime,MaxTime
1,102,208,00:18:00,00:20:00
2,104,105,00:05:00,00:07:00
3,209,211,00:15:00,00:20:00
9,212,212,00:04:00,00:10:00
10,110,110,00:04:00,00:06:00
