Stage,MinStat,MaxStat,MinTime,MaxTime
1,106,107,00:15:00,00:30:00
2,111,111,00:03:00,00:20:00
3,110,110,00:03:00,00:20:00
4,108,108,00:15:00,00:30:00
5,111,111,00:03:00,00:20:00
6,110,110,00:03:00,00:20:00
7,112,112,00:15:00,00:30:00
8,111,111,00:03:00,00:20:00
9,110,110,00:03:00,00:20:00
10,106,107,00:15:00,00:30:00
11,111,111,00:03:00,00:20:00
12,110,110,00:03:00,00:20:00
13,201,201,00:10:00,00:20:00
14,109,109,00:03:00,00:20:00
15,106,106,00:10:00,00:30:00
16,101,101,00:00:00,00:00:00
