Stage,MinStat,MaxStat,MinTime,MaxTime
1,202,202,00:00:00,00:30:00
2,216,216,00:05:00,00:07:00
3,217,217,00:00:02,00:00:05
4,217,217,00:00:02,00:00:05
5,217,217,00:00:02,00:00:05
6,218,218,00:00:02,00:00:05
7,218,218,00:00:02,00:00:05
8,218,218,00:00:02,00:00:05
9,219,219,00:03:00,00:05:00
10,204,204,00:05:00,00:30:00
11,202,202,00:00:00,00:30:00
12,201,201,00:00:00,00:00:00
