Stage,MinStat,MaxStat,MinTime,MaxTime
1,109,109,00:05:00,00:06:00
2,112,112,00:03:00,00:04:00
3,208,208,00:03:00,00:04:00
4,202,202,00:14:00,00:15:00
5,112,112,00:03:00,00:04:00
6,208,208,00:03:00,00:04:00
7,201,201,00:02:00,00:03:00
8,102,104,00:00:00,00:10:00
9,107,107,00:15:00,00:15:59
10,101,101,00:00:00,00:00:00
